Lot,Description,Brand,Type,Year,Color,Leather,Hardware,Estimate (USD),Lower Estimate (USD),Higher Estimate (USD),Price Realized (USD),Price Category,Variance from Higher Estimate
156,DOVE GRAY OSTRICH SELLIER KELLY 32,HERMES,Kelly 32,1994,Gray,Ostrich,Gold,5100−7700,5100,7700,8900,Above Estimate,1200
157,LIMITED EDITION ÉTOUPE & AZTEC BLUE CLEMENCE LEATHER ÉCLAT KELLY 28,HERMES,"Éclat Kelly 28, Limited Edition",2011,Grey,Clemence,Palladium,7700−12800,7700,12800,13700,Above Estimate,900
158,ÉTOUPE TOGO LEATHER BIRKIN 30,HERMES,Birkin 30,2008,Beige,Togo,Palladium,7700−12800,7700,12800,12100,Within Estimate,-700
159,ÉTOUPE TOGO LEATHER RETOURNÉ KELLY 32,HERMES,Kelly 32,2021,Beige,Togo,Palladium,7700−12800,7700,12800,12900,Above Estimate,100
160,"CUSTOM ÉTOUPE, GRAPHITE & BOUGAINVILLEA TOGO BIRKIN 35",HERMES,"Birkin 35, Custom",2011,Grey,Togo,Palladium,6400−10200,6400,10200,10500,Above Estimate,300
161,ÉTOUPE CLEMENCE LEATHER & CRINOLINE VICTORIA CABAS II 40,HERMES,Victoria Cabas II 40,2006,Beige,Clemence & Crinoline,Palladium,2600−3600,2600,3600,2900,Within Estimate,-700
162,ASPHALT GRAY TOGO LEATHER RETOURNÉ KELLY 28,HERMES,Kelly 28,2020,Gray,Togo,Palladium,9000−14100,9000,14100,15300,Above Estimate,1200
163,TIN EPSOM LEATHER SELLIER KELLY 28,HERMES,Kelly 28,2018,Gray,Epsom,Gold,7700−12800,7700,12800,16100,Above Estimate,3300
164,TIN TOGO & SWIFT LEATHER 24/24 29,HERMES,24/24 29,2019,Gray,Togo & Swift,Gold,6400−10200,6400,10200,8900,Within Estimate,-1300
165,"LIMITED EDITION MISTY GRAY, BLACK, FIZZ GREEN & ALEZAN EPSOM KELLYDOLE PICTO",HERMES,"Kellydole Picto, Limited Edition",2024,Black,Epsom,Palladium,38400−51200,38400,51200,64600,Above Estimate,13400
166,LIMITED EDITION MISTY GRAY EPSOM LEATHER MINI DÉSORDRE KELLY,HERMES,"Mini Désordre Kelly, Limited Edition",2024,Gray,Epsom,Permabrass,20500−30800,20500,30800,30700,Within Estimate,-100
167,CUSTOM AGATE GRAY & BLUE IRIS OSTRICH BIRKIN 25,HERMES,"Birkin 25, Custom",2020,Gray,Ostrich,Permabrass,12800−20500,12800,20500,21000,Above Estimate,500
168,BLACK TOGO LEATHER & TOURBE CANVAS KELLY DÉPÊCHES 25,HERMES,Kelly Dépêches 25,2023,Black,Togo & Canvas,Palladium,3800−5100,3800,5100,6500,Above Estimate,1400
169,LIMITED EDITION VERONESE GREEN TADELAKT LEATHER GHILLIES BIRKIN 35,HERMES,"Birkin 35, Limited Edition",2013,Green,Tadelakt,Permabrass,7700−12800,7700,12800,15300,Above Estimate,2500
170,SHINY CYPRESS GREEN NILOTICUS LIZARD MINI ROULIS,HERMES,Mini Roulis,2022,Green,Lizard,Gold,7700−12800,7700,12800,9700,Within Estimate,-3100
171,CYPRESS GREEN TOGO LEATHER BIRKIN 30,HERMES,Birkin 30,2017,Green,Togo,Palladium,7700−12800,7700,12800,12100,Within Estimate,-700
172,MATTE GREEN TITIEN ALLIGATOR KELLY CUT WITH PALLADIUM HARDWARE,HERMES,Kelly Cut,2014,Green,Alligator,Palladium,12800−20500,12800,20500,25800,Above Estimate,5300
173,SHINY EMERALD GREEN NILOTICUS CROCODILE ÉGÉE,HERMES,Égée,2013,Green,Crocodile,Palladium,6400−10200,6400,10200,7700,Within Estimate,-2500
174,SHINY ROUSSEAU GREEN ALLIGATOR MINI KELLY 20 II,HERMES,Mini Kelly 20 II,2021,Green,Alligator,Gold,38400−51200,38400,51200,56500,Above Estimate,5300
175,CUSTOM TURQUOISE GOATSKIN LEATHER SELLIER KELLY 25,HERMES,"Kelly 25, Custom",2016,Turquoise,Goat,Brushed Gold,9000−14100,9000,14100,19400,Above Estimate,5300
176,MATTE CACTUS ALLIGATOR MINI CONSTANCE,HERMES,Mini Constance,2016,Green,Alligator,Gold,15400−23100,15400,23100,22600,Within Estimate,-500
177,LIMITED EDITION BAMBOO CLEMENCE LEATHER PICOTIN LOCK MONOCHROME 18,HERMES,"Picotin Lock Monochrome 18, Limited Edition",2021,Green,Clemence,Green PVD,2600−3600,2600,3600,4200,Above Estimate,600
