Lot,Brand,Description,Year,Color,Leather,Hardware,Estimate (USD),Price Realized (USD)
223,HERMÈS,FAWN CALF LEATHER LES NÉCESSAIRES D'HERMÈS OTTOMAN,2023,Brown,Calf,Silver,"5,100−7,700",7300
225,CHANEL,BRONZE QUILTED AGED LAMBSKIN LEATHER WALLET ON CHAIN,2008,Bronze,Lambskin,Antique Silver,"2,000−3,100",1800
226,CHANEL,METALLIC GOLD QUILTED LAMBSKIN LEATHER 2.55 REISSUE 226,2006,Gold,Lambskin,Gold,"2,000−3,100",2100
227,CHANEL,METALLIC GOLD LAMBSKIN LEATHER WALLET ON CHAIN,2006,Gold,Lambskin,Silver,"2,000−3,100",1200
228,CHANEL,METALLIC SILVER CAMELLIA POCHETTE,2014,Silver,Metal,Silver,"2,000−3,100",0
229,CHANEL,SILVER QUILTED LAMBSKIN LEATHER WALLET ON CHAIN,2008,Silver,Lambskin,Silver,"2,000−3,100",1300
230,CHANEL,METALLIC SILVER LAMBSKIN LEATHER WALLET ON CHAIN,2006,Silver,Lambskin,Silver,"2,000−3,100",1100
231,CHANEL,METALLIC PURPLE CAVIAR LEATHER MEDIUM BOY BAG,2015,Purple,Caviar,Iridescent,"2,600−3,800",0
232,CHANEL,BLUE QUILTED SATIN & METALLIC GOLD LAMBSKIN LEATHER WALLET ON CHAIN,2012,Blue,Satin & Lambskin,Gold,"2,000−3,100",0
233,CHANEL,MATTE BLUE ALLIGATOR JUMBO DOUBLE CLASSIC FLAP BAG,2014,Blue,Alligator,Gold,"5,100−7,700",15300
